[2025-05-30 20.34.54] [INFO] Application starting.
[2025-05-30 20.34.54] [ERROR] Failed to load font: assets/fonts/ascii_16x16.png
Exception: System.InvalidOperationException: You need to initialize the OpenGL binding first by calling LoadBindings() or creating a compatible OpenGL window.
   at OpenTK.Graphics.BindingsBase.Uninitialized()
   at OpenTK.Graphics.OpenGL4.GL.GenTexture()
   at CoolRetroPowershellTerm.BitmapFont.LoadTexture(String path) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\BitmapFont.cs:line 32
   at CoolRetroPowershellTerm.BitmapFont..ctor(String path, Int32 glyphWidth, Int32 glyphHeight, Int32 gridCols, Int32 gridRows) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\BitmapFont.cs:line 25
   at CoolRetroPowershellTerm.Program.Main(String[] args) in C:\Source\cool-retro-powershell-term\src\CoolRetroPowershellTerm\Program.cs:line 31
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.352
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.352
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.352
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.353
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.353
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.354
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.354
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.354
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.355
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.355
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.356
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.356
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.357
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.358
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.358
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.359
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.360
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.361
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.361
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.361
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.362
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.362
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.363
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.363
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.364
[2025-05-30 20.34.55] [INFO] RenderFrame at 20.34.55.364
